,index,nifti_name,sub,ses,run,task,ev,num,onset,dur,mod,regressor,cue_type,stim_type,expect_rating,actual_rating,cue_con,stim_lin,stim_quad
24,24,sub-0079_ses-01_run-01-vicarious_ev-rating-0nan,79,1,1,vicarious,rating,,"[-1631810795.72956, -1631810772.8372598, -1631810765.8511899, -1631810741.9418197, -1631810734.5389194, -1631810719.4496799, -1631810710.84631, -1631810682.6519198, -1631810675.8492599, -1631810656.0414999, -1631810647.955, -1631810627.9471598, -1631810616.1592097, -1631810588.6484299, -1631810576.2602398, -1631810556.3524399, -1631810539.0456598, -1631810513.9524899, -1631810505.3491197, -1631810489.2428098, -1631810468.35129, -1631810446.0425498, -1631810430.2530298, -1631810407.0439398]","[4.0, 4.0, 4.0, 3.88513994216919, 3.02049469947815, 3.3515079021453897, 3.2013790607452406, 4.0, 2.80253410339355, 4.0, 3.25145649909973, 2.51792764663696, 4.0, 3.81848096847534, 2.96978306770325, 3.12274360656738, 3.10167694091797, 2.73556733131409, 2.75430011749268, 3.84243369102478, 4.0, 2.88468289375305, 2.71784162521362, 3.59075522422791]",1,False,,,,,,,
25,25,csf,79,1,1,vicarious,,,,,,False,,,,,,,
26,26,white_matter,79,1,1,vicarious,,,,,,False,,,,,,,
27,27,trans_x,79,1,1,vicarious,,,,,,False,,,,,,,
28,28,trans_y,79,1,1,vicarious,,,,,,False,,,,,,,
29,29,trans_z,79,1,1,vicarious,,,,,,False,,,,,,,
30,30,rot_x,79,1,1,vicarious,,,,,,False,,,,,,,
31,31,rot_y,79,1,1,vicarious,,,,,,False,,,,,,,
32,32,rot_z,79,1,1,vicarious,,,,,,False,,,,,,,
33,33,dummy,79,1,1,vicarious,,,,,,False,,,,,,,
34,0,sub-0079_ses-01_run-02-cognitive_ev-cue-0000,79,1,2,cognitive,cue,0,8.104769945144653,1,1,True,high_cue,low_stim,64.9971737397644,65.59409022030879,1,-1,1
35,1,sub-0079_ses-01_run-02-cognitive_ev-cue-0001,79,1,2,cognitive,cue,1,52.40546011924744,1,1,True,low_cue,med_stim,64.9971737397644,65.59409022030879,1,-1,1
36,2,sub-0079_ses-01_run-02-cognitive_ev-cue-0002,79,1,2,cognitive,cue,2,93.20478010177612,1,1,True,high_cue,high_stim,38.98249696715429,41.09950625761811,-1,0,-2
37,3,sub-0079_ses-01_run-02-cognitive_ev-cue-0003,79,1,2,cognitive,cue,3,123.3999400138855,1,1,True,low_cue,high_stim,38.98249696715429,41.09950625761811,-1,0,-2
38,4,sub-0079_ses-01_run-02-cognitive_ev-cue-0004,79,1,2,cognitive,cue,4,151.2942099571228,1,1,True,high_cue,low_stim,77.47119229084849,49.57392125990087,1,1,1
39,5,sub-0079_ses-01_run-02-cognitive_ev-cue-0005,79,1,2,cognitive,cue,5,188.39206981658936,1,1,True,high_cue,med_stim,77.47119229084849,49.57392125990087,1,1,1
40,6,sub-0079_ses-01_run-02-cognitive_ev-cue-0006,79,1,2,cognitive,cue,6,218.20374989509583,1,1,True,low_cue,high_stim,11.309932474020211,40.249945166859575,-1,1,1
41,7,sub-0079_ses-01_run-02-cognitive_ev-cue-0007,79,1,2,cognitive,cue,7,246.19805002212524,1,1,True,high_cue,med_stim,11.309932474020211,40.249945166859575,-1,1,1
42,8,sub-0079_ses-01_run-02-cognitive_ev-cue-0008,79,1,2,cognitive,cue,8,277.59368991851807,1,1,True,low_cue,low_stim,64.05211467799845,40.60129464500447,1,-1,1
43,9,sub-0079_ses-01_run-02-cognitive_ev-cue-0009,79,1,2,cognitive,cue,9,309.6895999908447,1,1,True,low_cue,low_stim,64.05211467799845,40.60129464500447,1,-1,1
44,10,sub-0079_ses-01_run-02-cognitive_ev-cue-0010,79,1,2,cognitive,cue,10,339.20115995407104,1,1,True,high_cue,high_stim,78.735794395372,65.89776549883887,1,0,-2
45,11,sub-0079_ses-01_run-02-cognitive_ev-cue-0011,79,1,2,cognitive,cue,11,371.6972198486328,1,1,True,low_cue,med_stim,78.735794395372,65.89776549883887,1,0,-2
